name, address, telephone, email, website, category, sub_category, rating, reviews, opening_hours, search_keyword, search_location, claimed, permanently_closed, latitude, longitude, map_link, image_url, title, title_url, description
"Le Méridien Gurgaon, Delhi NCR","Sector 26 M.G. Road, Gurgaon Delhi, Border, Gurugram, Haryana 122002 ",0124 499 2000 ,,https://www.marriott.com/en-us/hotels/deldm-le-meridien-gurgaon-delhi-ncr/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,·5-star hotel,"A,B,C","4.4
11,030 reviews",,,,"F4J5+64 Gurugram, Haryana",Unvarified,,,"elhi+NCR/data=!4m10!3m9!1s0x390d1e42333060cf:0x7e18e832036f6913???28.4806195,,,77.1077522","https://www.google.com/maps/place/Le+M%C3%A9ridien+Gurgaon,+Delhi+NCR/data=!4m10!3m9!1s0x390d1e42333060cf:0x7e18e832036f6913!5m2!4m1!1i2!8m2!3d28.4806195!4d77.1077522!16s%2Fg%2F1tjyr_hl!19sChIJz2AwM0IeDTkRE2lvAzLoGH4?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNDh5ziqe4mhS4MpN6dd6vl4VUNsTNoQkC4TXg,"Le Méridien Gurgaon, Delhi NCR","Le Méridien Gurgaon, Delhi NCR","Le Méridien Gurgaon, Delhi NCRis a ·5-star hotel which is located on Address: Sector 26 M.G. Road, Gurgaon Delhi, Border, Gurugram, Haryana 122002  in  Gurugram, Haryana. The Le Méridien Gurgaon, Delhi NCR offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Le Méridien Gurgaon, Delhi NCR contact details or directly call on compnay helpline number Phone: 0124 499 2000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Le Méridien Gurgaon, Delhi NCR/nA,B,C/nWhich is the address of Le Méridien Gurgaon, Delhi NCR/nAddress: Sector 26 M.G. Road, Gurgaon Delhi, Border, Gurugram, Haryana 122002 /nWhich are service areas is covered by Le Méridien Gurgaon, Delhi NCR/n Gurugram, Haryana"
"Crowne Plaza Gurgaon, an IHG Hotel","Site No.2, opposite Signature Tower, Sector 29, Gurugram, Haryana 122001 ",0124 453 4000 ,,https://www.ihg.com/crowneplaza/hotels/us/en//gurgaon/ndegg/hoteldetail,·5-star hotel,"A,B,C","4.5
12,253 reviews",,,,"F395+8X Gurugram, Haryana",Unvarified,,,"n+IHG+Hotel/data=!4m10!3m9!1s0x390d19a8ffffffff:0x6c02259f120c3044???28.468254,,,77.059928","https://www.google.com/maps/place/Crowne+Plaza+Gurgaon,+an+IHG+Hotel/data=!4m10!3m9!1s0x390d19a8ffffffff:0x6c02259f120c3044!5m2!4m1!1i2!8m2!3d28.468254!4d77.059928!16s%2Fg%2F1tmy3fwn!19sChIJ_____6gZDTkRRDAMEp8lAmw?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNYRgfoxFQhN4BZrLr9niKIwK_EQrS0XZ5GjUkN,"Crowne Plaza Gurgaon, an IHG Hotel","Crowne Plaza Gurgaon, an IHG Hotel","Crowne Plaza Gurgaon, an IHG Hotelis a ·5-star hotel which is located on Address: Site No.2, opposite Signature Tower, Sector 29, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Crowne Plaza Gurgaon, an IHG Hotel offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Crowne Plaza Gurgaon, an IHG Hotel contact details or directly call on compnay helpline number Phone: 0124 453 4000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Crowne Plaza Gurgaon, an IHG Hotel/nA,B,C/nWhich is the address of Crowne Plaza Gurgaon, an IHG Hotel/nAddress: Site No.2, opposite Signature Tower, Sector 29, Gurugram, Haryana 122001 /nWhich are service areas is covered by Crowne Plaza Gurgaon, an IHG Hotel/n Gurugram, Haryana"
Ramada by Wyndham Gurgaon Central,"Plot 2, Sector 44, Gurugram, Haryana 122003 ",0124 488 6400 ,,https://www.wyndhamhotels.com/ramada/gurgaon-india/ramada-gurgaon-central/overview?CID=LC:RA::GGL:RIO:National:36587&iata=00093796,·4-star hotel,"A,B,C","4.2
10,664 reviews",,,,"C3XC+XC Gurugram, Haryana",Unvarified,,"28.4498989,",77.0711179,"https://www.google.com/maps/place/Ramada+by+Wyndham+Gurgaon+Central/data=!4m10!3m9!1s0x390d18ecdf29d08b:0x348e33d326f65bc1!5m2!4m1!1i2!8m2!3d28.4498989!4d77.0711179!16s%2Fg%2F1tf567_g!19sChIJi9Ap3-wYDTkRwVv2JtMzjjQ?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipPd7Opst6Hm6UQ_qm_lS0FtT2VLAXTszyYyQk40,Ramada by Wyndham Gurgaon Central,Ramada by Wyndham Gurgaon Central,"Ramada by Wyndham Gurgaon Centralis a ·4-star hotel which is located on Address: Plot 2, Sector 44, Gurugram, Haryana 122003  in  Gurugram, Haryana. The Ramada by Wyndham Gurgaon Central offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Ramada by Wyndham Gurgaon Central contact details or directly call on compnay helpline number Phone: 0124 488 6400  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Ramada by Wyndham Gurgaon Central/nA,B,C/nWhich is the address of Ramada by Wyndham Gurgaon Central/nAddress: Plot 2, Sector 44, Gurugram, Haryana 122003 /nWhich are service areas is covered by Ramada by Wyndham Gurgaon Central/n Gurugram, Haryana"
jüSTa Gurgaon/NCR,"NR-40, Mehrauli-Gurgaon Rd, Opposite Neelkanth Hospital, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 ",0124 351 0172 ,,https://www.justahotels.com/justa-gurgaon-ncr/,·4-star hotel,"A,B,C","3.8
708 reviews",,,,"F4M4+HM Gurugram, Haryana",Unvarified,,"28.4839875,",77.1067027,"https://www.google.com/maps/place/j%C3%BCSTa+Gurgaon%2FNCR/data=!4m10!3m9!1s0x390d1ed3d17379c7:0xb3f6eea5fd764836!5m2!4m1!1i2!8m2!3d28.4839875!4d77.1067027!16s%2Fg%2F1tfzkqsh!19sChIJx3lz0dMeDTkRNkh2_aXu9rM?authuser=0&hl=en&rclk=1
",,jüSTa Gurgaon/NCR,jüSTa Gurgaon/NCR,"jüSTa Gurgaon/NCRis a ·4-star hotel which is located on Address: NR-40, Mehrauli-Gurgaon Rd, Opposite Neelkanth Hospital, DLF Phase 3, Sector 24, Gurugram, Haryana 122002  in  Gurugram, Haryana. The jüSTa Gurgaon/NCR offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given jüSTa Gurgaon/NCR contact details or directly call on compnay helpline number Phone: 0124 351 0172  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by jüSTa Gurgaon/NCR/nA,B,C/nWhich is the address of jüSTa Gurgaon/NCR/nAddress: NR-40, Mehrauli-Gurgaon Rd, Opposite Neelkanth Hospital, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 /nWhich are service areas is covered by jüSTa Gurgaon/NCR/n Gurugram, Haryana"
"The Westin Gurgaon, New Delhi","1 Mg Road, Sector 29, New Delhi, Ncr, Gurugram, Haryana 122002 ",0124 497 7777 ,,https://www.marriott.com/en-us/hotels/delwi-the-westin-gurgaon-new-delhi/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,·5-star hotel,"A,B,C","4.4
16,770 reviews",,,,"F3GC+P6 Gurugram, Haryana",Unvarified,,,"ew+Delhi/data=!4m10!3m9!1s0x390d191c81bf691f:0x3cd72bad3b46329a???28.476874,,,77.0705817","https://www.google.com/maps/place/The+Westin+Gurgaon,+New+Delhi/data=!4m10!3m9!1s0x390d191c81bf691f:0x3cd72bad3b46329a!5m2!4m1!1i2!8m2!3d28.476874!4d77.0705817!16s%2Fg%2F1hm2lr4br!19sChIJH2m_gRwZDTkRmjJGO60r1zw?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNTYToYQOYqR6apnu7xCgp3Vqkk2U_2hvhly5mj,"The Westin Gurgaon, New Delhi","The Westin Gurgaon, New Delhi","The Westin Gurgaon, New Delhiis a ·5-star hotel which is located on Address: 1 Mg Road, Sector 29, New Delhi, Ncr, Gurugram, Haryana 122002  in  Gurugram, Haryana. The The Westin Gurgaon, New Delhi offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given The Westin Gurgaon, New Delhi contact details or directly call on compnay helpline number Phone: 0124 497 7777  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by The Westin Gurgaon, New Delhi/nA,B,C/nWhich is the address of The Westin Gurgaon, New Delhi/nAddress: 1 Mg Road, Sector 29, New Delhi, Ncr, Gurugram, Haryana 122002 /nWhich are service areas is covered by The Westin Gurgaon, New Delhi/n Gurugram, Haryana"
Radisson Gurugram Udyog Vihar,"Nh-8, Phase 3, adjacent to Plot No. 406, Udyog Vihar, Sector 20, Gurugram, Haryana 122016 ",0124 494 2555 ,,https://www.radissonhotels.com/en-us/hotels/radisson-gurugram-udyog-vihar?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INHRGURUVI,·5-star hotel,"A,B,C","4.5
15,158 reviews",,,,"G35R+WR Gurugram, Haryana",Unvarified,,"28.5097839,",77.0921063,"https://www.google.com/maps/place/Radisson+Gurugram+Udyog+Vihar/data=!4m10!3m9!1s0x390d1943414edf6d:0x34107571ed7a56!5m2!4m1!1i2!8m2!3d28.5097839!4d77.0921063!16s%2Fg%2F11h0blq2g!19sChIJbd9OQUMZDTkRVnrtcXUQNAA?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNDjonxRKhSRp812vTXZlk9hWM2RQy3NIPHAmuP,Radisson Gurugram Udyog Vihar,Radisson Gurugram Udyog Vihar,"Radisson Gurugram Udyog Viharis a ·5-star hotel which is located on Address: Nh-8, Phase 3, adjacent to Plot No. 406, Udyog Vihar, Sector 20, Gurugram, Haryana 122016  in  Gurugram, Haryana. The Radisson Gurugram Udyog Vihar offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Radisson Gurugram Udyog Vihar contact details or directly call on compnay helpline number Phone: 0124 494 2555  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Radisson Gurugram Udyog Vihar/nA,B,C/nWhich is the address of Radisson Gurugram Udyog Vihar/nAddress: Nh-8, Phase 3, adjacent to Plot No. 406, Udyog Vihar, Sector 20, Gurugram, Haryana 122016 /nWhich are service areas is covered by Radisson Gurugram Udyog Vihar/n Gurugram, Haryana"
DoubleTree by Hilton Gurugram Baani Square,"Baani Square, Sector 50, Gurugram, Haryana 122002 ",0124 442 0000 ,,https://www.hilton.com/en/hotels/delgudi-doubletree-gurugram-baani-square/?SEO_id=GMB-APAC-DI-DELGUDI,·5-star hotel,"A,B,C","4.3
5,284 reviews",,,,"C3G4+9X Gurugram, Haryana",Unvarified,,"28.4259344,",77.0574072,"https://www.google.com/maps/place/DoubleTree+by+Hilton+Gurugram+Baani+Square/data=!4m10!3m9!1s0x390d227daaaaaaab:0xfc26dbd7a1e3bad7!5m2!4m1!1i2!8m2!3d28.4259344!4d77.0574072!16s%2Fg%2F1hhhp2lk3!19sChIJq6qqqn0iDTkR17rjodfbJvw?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipO_6Y17vaP3m5zlAzeMOQX9_U2vtA7CTSnBUsf5,DoubleTree by Hilton Gurugram Baani Square,DoubleTree by Hilton Gurugram Baani Square,"DoubleTree by Hilton Gurugram Baani Squareis a ·5-star hotel which is located on Address: Baani Square, Sector 50, Gurugram, Haryana 122002  in  Gurugram, Haryana. The DoubleTree by Hilton Gurugram Baani Square offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given DoubleTree by Hilton Gurugram Baani Square contact details or directly call on compnay helpline number Phone: 0124 442 0000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by DoubleTree by Hilton Gurugram Baani Square/nA,B,C/nWhich is the address of DoubleTree by Hilton Gurugram Baani Square/nAddress: Baani Square, Sector 50, Gurugram, Haryana 122002 /nWhich are service areas is covered by DoubleTree by Hilton Gurugram Baani Square/n Gurugram, Haryana"
"Country Inn & Suites by Radisson, Gurgaon Sector 12","Plot No. 301, 302, Anamika Enclave, Sector 12, Gurugram, Haryana 122001 ",0124 665 5555 ,,https://www.radissonhotels.com/en-us/hotels/country-inn-gurgaon-sector-12?cid=a:se+b:gmb+c:apac+i:local+e:cis+d:ind+h:INHRGURS12,·4-star hotel,"A,B,C","4.3
5,389 reviews",,,,"F29Q+86 Gurugram, Haryana",Unvarified,,,"urgaon+Sector+12/data=!4m10!3m9!1s0x390d19cac0000001:0x6dafd71b1f6bd85b???28.4682671,,,77.0380146","https://www.google.com/maps/place/Country+Inn+%26+Suites+by+Radisson,+Gurgaon+Sector+12/data=!4m10!3m9!1s0x390d19cac0000001:0x6dafd71b1f6bd85b!5m2!4m1!1i2!8m2!3d28.4682671!4d77.0380146!16s%2Fg%2F1v9l94qb!19sChIJAQAAwMoZDTkRW9hrHxvXr20?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipOuzT2O8hMabAW_QanZo1xtMGvdggPWnHA-adgq,"Country Inn & Suites by Radisson, Gurgaon Sector 12","Country Inn & Suites by Radisson, Gurgaon Sector 12","Country Inn & Suites by Radisson, Gurgaon Sector 12is a ·4-star hotel which is located on Address: Plot No. 301, 302, Anamika Enclave, Sector 12, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Country Inn & Suites by Radisson, Gurgaon Sector 12 offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Country Inn & Suites by Radisson, Gurgaon Sector 12 contact details or directly call on compnay helpline number Phone: 0124 665 5555  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Country Inn & Suites by Radisson, Gurgaon Sector 12/nA,B,C/nWhich is the address of Country Inn & Suites by Radisson, Gurgaon Sector 12/nAddress: Plot No. 301, 302, Anamika Enclave, Sector 12, Gurugram, Haryana 122001 /nWhich are service areas is covered by Country Inn & Suites by Radisson, Gurgaon Sector 12/n Gurugram, Haryana"
"Hotel Haut Monde, Gurgaon","316, Jharsa Rd, Sector 15 Part 2, Patel Nagar, Gurugram, Haryana 122001 ",0124 484 0000 ,,http://www.contitel.co/,·4-star hotel,"A,B,C","3.7
2,745 reviews",,,,"F24Q+37 Gurugram, Haryana",Unvarified,,,"urgaon/data=!4m10!3m9!1s0x390d18466e76756b:0x3cb1e13cdf5ae45c???28.4552048,,,77.0381321","https://www.google.com/maps/place/Hotel+Haut+Monde,+Gurgaon/data=!4m10!3m9!1s0x390d18466e76756b:0x3cb1e13cdf5ae45c!5m2!4m1!1i2!8m2!3d28.4552048!4d77.0381321!16s%2Fg%2F12ml2yqns!19sChIJa3V2bkYYDTkRXORa3zzhsTw?authuser=0&hl=en&rclk=1
",,"Hotel Haut Monde, Gurgaon","Hotel Haut Monde, Gurgaon","Hotel Haut Monde, Gurgaonis a ·4-star hotel which is located on Address: 316, Jharsa Rd, Sector 15 Part 2, Patel Nagar, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Hotel Haut Monde, Gurgaon offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Hotel Haut Monde, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 484 0000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Hotel Haut Monde, Gurgaon/nA,B,C/nWhich is the address of Hotel Haut Monde, Gurgaon/nAddress: 316, Jharsa Rd, Sector 15 Part 2, Patel Nagar, Gurugram, Haryana 122001 /nWhich are service areas is covered by Hotel Haut Monde, Gurgaon/n Gurugram, Haryana"
DS Clarks Inn Gurgaon,"Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001 ",0124 493 0000 ,,https://dsclarksinn.com/,·3-star hotel,"A,B,C","4.0
1,508 reviews",,,,"F25M+4G Gurugram, Haryana",Unvarified,,"28.4578181,",77.0338518,"https://www.google.com/maps/place/DS+Clarks+Inn+Gurgaon/data=!4m10!3m9!1s0x390d184816395391:0xb12c8ec92e20993d!5m2!4m1!1i2!8m2!3d28.4578181!4d77.0338518!16s%2Fg%2F1tmckm7l!19sChIJkVM5FkgYDTkRPZkgLsmOLLE?authuser=0&hl=en&rclk=1
",,DS Clarks Inn Gurgaon,DS Clarks Inn Gurgaon,"DS Clarks Inn Gurgaonis a ·3-star hotel which is located on Address: Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001  in  Gurugram, Haryana. The DS Clarks Inn Gurgaon offers A,B,C services. If you need ·3-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given DS Clarks Inn Gurgaon contact details or directly call on compnay helpline number Phone: 0124 493 0000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by DS Clarks Inn Gurgaon/nA,B,C/nWhich is the address of DS Clarks Inn Gurgaon/nAddress: Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001 /nWhich are service areas is covered by DS Clarks Inn Gurgaon/n Gurugram, Haryana"
Gazebo Inn & Suites,"GH-7, CH Baktawar Singh Rd, opposite Medanta Hospital, Janak Puri C Block, Sector 39, Gurugram, Haryana 122001 ",095992 40192 ,,,·3-star hotel,"A,B,C","4.3
1,075 reviews",,,,"C2RV+G5 Gurugram, Haryana",Unvarified,,"28.441292,",77.04295,"https://www.google.com/maps/place/Gazebo+Inn+%26+Suites/data=!4m10!3m9!1s0x390d1868c48a6c4f:0x6f78cc03674a9f4e!5m2!4m1!1i2!8m2!3d28.441292!4d77.04295!16s%2Fg%2F11bw64wtt9!19sChIJT2yKxGgYDTkRTp9KZwPMeG8?authuser=0&hl=en&rclk=1
",,Gazebo Inn & Suites,Gazebo Inn & Suites,"Gazebo Inn & Suitesis a ·3-star hotel which is located on Address: GH-7, CH Baktawar Singh Rd, opposite Medanta Hospital, Janak Puri C Block, Sector 39, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Gazebo Inn & Suites offers A,B,C services. If you need ·3-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Gazebo Inn & Suites contact details or directly call on compnay helpline number Phone: 095992 40192  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Gazebo Inn & Suites/nA,B,C/nWhich is the address of Gazebo Inn & Suites/nAddress: GH-7, CH Baktawar Singh Rd, opposite Medanta Hospital, Janak Puri C Block, Sector 39, Gurugram, Haryana 122001 /nWhich are service areas is covered by Gazebo Inn & Suites/n Gurugram, Haryana"
Perch Arbor Suites,"C 988, Block C Dr, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009 ",084484 44240 ,,http://www.theperch.in/perch-arbor.html,·4-star hotel,"A,B,C","4.1
268 reviews",,,,"F35J+X9 Gurugram, Haryana",Unvarified,,"28.459924,",77.080945,"https://www.google.com/maps/place/Perch+Arbor+Suites/data=!4m10!3m9!1s0x390d18c2c08664dd:0xcab7f5e5e760e958!5m2!4m1!1i2!8m2!3d28.459924!4d77.080945!16s%2Fg%2F11b_2lj62h!19sChIJ3WSGwMIYDTkRWOlg5-X1t8o?authuser=0&hl=en&rclk=1
",,Perch Arbor Suites,Perch Arbor Suites,"Perch Arbor Suitesis a ·4-star hotel which is located on Address: C 988, Block C Dr, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009  in  Gurugram, Haryana. The Perch Arbor Suites offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Perch Arbor Suites contact details or directly call on compnay helpline number Phone: 084484 44240  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Perch Arbor Suites/nA,B,C/nWhich is the address of Perch Arbor Suites/nAddress: C 988, Block C Dr, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009 /nWhich are service areas is covered by Perch Arbor Suites/n Gurugram, Haryana"
"Lemon Tree Hotel, Udyog Vihar, Gurugram","866, Udyog Vihar Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 ",0124 442 3232 ,,http://www.lemontreehotels.com/lemon-tree-hotel/gurgaon/udyog-vihar-gurgaon.aspx,·3-star hotel,"A,B,C","3.8
1,583 reviews",,,,"G32P+XM Gurugram, Haryana",Unvarified,,,"dyog+Vihar,+Gurugram/data=!4m10!3m9!1s0x390d194422b609ad:0x24b90075eea760f8???28.5024893,,,77.0866394","https://www.google.com/maps/place/Lemon+Tree+Hotel,+Udyog+Vihar,+Gurugram/data=!4m10!3m9!1s0x390d194422b609ad:0x24b90075eea760f8!5m2!4m1!1i2!8m2!3d28.5024893!4d77.0866394!16s%2Fg%2F1tmkjbxb!19sChIJrQm2IkQZDTkR-GCn7nUAuSQ?authuser=0&hl=en&rclk=1
",,"Lemon Tree Hotel, Udyog Vihar, Gurugram","Lemon Tree Hotel, Udyog Vihar, Gurugram","Lemon Tree Hotel, Udyog Vihar, Gurugramis a ·3-star hotel which is located on Address: 866, Udyog Vihar Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016  in  Gurugram, Haryana. The Lemon Tree Hotel, Udyog Vihar, Gurugram offers A,B,C services. If you need ·3-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Lemon Tree Hotel, Udyog Vihar, Gurugram contact details or directly call on compnay helpline number Phone: 0124 442 3232  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Lemon Tree Hotel, Udyog Vihar, Gurugram/nA,B,C/nWhich is the address of Lemon Tree Hotel, Udyog Vihar, Gurugram/nAddress: 866, Udyog Vihar Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 /nWhich are service areas is covered by Lemon Tree Hotel, Udyog Vihar, Gurugram/n Gurugram, Haryana"
"Lemon Tree Premier, City Center, Gurgaon","287 Millennium City Center, Sector Rd, near Pllazio, Sector 29, Gurugram, Haryana 122001 ",0124 416 0303 ,,http://www.lemontreehotels.com/lemon-tree-premier/gurgaon/city-center-gurgaon.aspx,·4-star hotel,"A,B,C","4.3
2,094 reviews",,,,"F377+XV Gurugram, Haryana",Unvarified,,,"ity+Center,+Gurgaon/data=!4m10!3m9!1s0x390d18fc36eec2af:0x4536754f23def82d???28.4649672,,,77.0647054","https://www.google.com/maps/place/Lemon+Tree+Premier,+City+Center,+Gurgaon/data=!4m10!3m9!1s0x390d18fc36eec2af:0x4536754f23def82d!5m2!4m1!1i2!8m2!3d28.4649672!4d77.0647054!16s%2Fg%2F1tlgwbkl!19sChIJr8LuNvwYDTkRLfjeI091NkU?authuser=0&hl=en&rclk=1
",,"Lemon Tree Premier, City Center, Gurgaon","Lemon Tree Premier, City Center, Gurgaon","Lemon Tree Premier, City Center, Gurgaonis a ·4-star hotel which is located on Address: 287 Millennium City Center, Sector Rd, near Pllazio, Sector 29, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Lemon Tree Premier, City Center, Gurgaon offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Lemon Tree Premier, City Center, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 416 0303  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Lemon Tree Premier, City Center, Gurgaon/nA,B,C/nWhich is the address of Lemon Tree Premier, City Center, Gurgaon/nAddress: 287 Millennium City Center, Sector Rd, near Pllazio, Sector 29, Gurugram, Haryana 122001 /nWhich are service areas is covered by Lemon Tree Premier, City Center, Gurgaon/n Gurugram, Haryana"
"Holiday Inn Express Gurugram Sector 50, an IHG Hotel","Good Earth City Centre, Commercial Complex, opposite Gali Number 2, Pocket H, Nirvana, Sector 49, Gurugram, Haryana 122018 ",0124 668 5555 ,,https://www.ihg.com/holidayinnexpress/hotels/us/en/gurgaon/hayge/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-IN-_-HAYGE,·3-star hotel,"A,B,C","4.2
2,036 reviews",,,,"C3C3+G5 Gurugram, Haryana",Unvarified,,,"n+IHG+Hotel/data=!4m10!3m9!1s0x390d2312b7ef7013:0xe02f7f062b40868e???28.4212557,,,77.052968","https://www.google.com/maps/place/Holiday+Inn+Express+Gurugram+Sector+50,+an+IHG+Hotel/data=!4m10!3m9!1s0x390d2312b7ef7013:0xe02f7f062b40868e!5m2!4m1!1i2!8m2!3d28.4212557!4d77.052968!16s%2Fg%2F11f9x3fls5!19sChIJE3DvtxIjDTkRjoZAKwZ_L-A?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipOs_J-l8BXEo_Smueseej9ASVbOE-NjwSYy2H0,"Holiday Inn Express Gurugram Sector 50, an IHG Hotel","Holiday Inn Express Gurugram Sector 50, an IHG Hotel","Holiday Inn Express Gurugram Sector 50, an IHG Hotelis a ·3-star hotel which is located on Address: Good Earth City Centre, Commercial Complex, opposite Gali Number 2, Pocket H, Nirvana, Sector 49, Gurugram, Haryana 122018  in  Gurugram, Haryana. The Holiday Inn Express Gurugram Sector 50, an IHG Hotel offers A,B,C services. If you need ·3-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Holiday Inn Express Gurugram Sector 50, an IHG Hotel contact details or directly call on compnay helpline number Phone: 0124 668 5555  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Holiday Inn Express Gurugram Sector 50, an IHG Hotel/nA,B,C/nWhich is the address of Holiday Inn Express Gurugram Sector 50, an IHG Hotel/nAddress: Good Earth City Centre, Commercial Complex, opposite Gali Number 2, Pocket H, Nirvana, Sector 49, Gurugram, Haryana 122018 /nWhich are service areas is covered by Holiday Inn Express Gurugram Sector 50, an IHG Hotel/n Gurugram, Haryana"
